id,value,feed_id,created_at,lat,lon,ele
0F7D0BZS9QZ4HJRXMTGF179G7C,3859,2439514,2023-01-26 06:59:40 UTC,0.0,0.0,0.0
0F7D0C19V1D2ZNT78CVZ32383K,0,2439514,2023-01-26 06:59:45 UTC,0.0,0.0,0.0
0F7D0C2THGKEKKNNTRMJV41D9V,1957,2439514,2023-01-26 06:59:50 UTC,0.0,0.0,0.0
0F7D0C4BA9Q2REY2HGCASAMVZX,235,2439514,2023-01-26 06:59:55 UTC,0.0,0.0,0.0
0F7D0C5W6X5C8PWC2X30B29TM0,2207,2439514,2023-01-26 07:00:00 UTC,0.0,0.0,0.0
0F7D0C7CT1SDNYPH66CJXJH136,567,2439514,2023-01-26 07:00:05 UTC,0.0,0.0,0.0
0F7D0C8XCVJ7YVCGMZBQXQ52T6,260,2439514,2023-01-26 07:00:10 UTC,0.0,0.0,0.0
0F7D0CAEF9K957T1MWR6BT7FW0,4095,2439514,2023-01-26 07:00:15 UTC,0.0,0.0,0.0
0F7D0CBYV6WNQY77SPJ9616ZNB,1279,2439514,2023-01-26 07:00:20 UTC,0.0,0.0,0.0
0F7D0CDGSF5D2JEPMQPADEHR1B,1046,2439514,2023-01-26 07:00:25 UTC,0.0,0.0,0.0
0F7D0CF2VRYKZVTH4H74WNMH83,3483,2439514,2023-01-26 07:00:30 UTC,0.0,0.0,0.0
0F7D0CGHCY6C63K8F76YNCQXVG,3055,2439514,2023-01-26 07:00:35 UTC,0.0,0.0,0.0
0F7D0CJ33K3M4YHM5HR8R4TD42,3936,2439514,2023-01-26 07:00:40 UTC,0.0,0.0,0.0
0F7D0CKKTCESX2JETKT0CSQP05,0,2439514,2023-01-26 07:00:45 UTC,0.0,0.0,0.0
0F7D0CN4NA44VACP7AA18ZZ5YQ,4095,2439514,2023-01-26 07:00:50 UTC,0.0,0.0,0.0
0F7D0CPNC2ATA8ESFEGEFCZQ9D,1558,2439514,2023-01-26 07:00:55 UTC,0.0,0.0,0.0
0F7D0CR68S5C073JVS8VMDN05H,2060,2439514,2023-01-26 07:01:00 UTC,0.0,0.0,0.0
0F7D0CSPRN0YVV5QF80N9GZE6A,0,2439514,2023-01-26 07:01:05 UTC,0.0,0.0,0.0
0F7D0CV7MRAKX2KP93G4JRCAN3,2748,2439514,2023-01-26 07:01:10 UTC,0.0,0.0,0.0
0F7D0CWR8H7AW2WH4ZBAXXPQCG,4095,2439514,2023-01-26 07:01:15 UTC,0.0,0.0,0.0
0F7D0CY8ZY6GD8SGYQYBD5G4AQ,0,2439514,2023-01-26 07:01:20 UTC,0.0,0.0,0.0
0F7D0CZSNA4K7B491Q6J71D2PV,2583,2439514,2023-01-26 07:01:25 UTC,0.0,0.0,0.0
0F7D0D1BJ70X7BP6XET9CRC58A,2084,2439514,2023-01-26 07:01:30 UTC,0.0,0.0,0.0
0F7D0D2W5QDW2GJPJ5BMJ66KQG,1652,2439514,2023-01-26 07:01:35 UTC,0.0,0.0,0.0
0F7D0D4D0ZWMT1TAXRNVJ12S9V,2389,2439514,2023-01-26 07:01:40 UTC,0.0,0.0,0.0
0F7D0D5XMTZKV1M8QC7MBDNQ00,0,2439514,2023-01-26 07:01:45 UTC,0.0,0.0,0.0
0F7D0D7EBW1C5EENKAX7KB82EH,1761,2439514,2023-01-26 07:01:50 UTC,0.0,0.0,0.0
0F7D0D8Z65G02EGYP0D2H0G60B,1595,2439514,2023-01-26 07:01:55 UTC,0.0,0.0,0.0
0F7D0DAG0XXZFZKGY1CQCZNSQG,0,2439514,2023-01-26 07:02:00 UTC,0.0,0.0,0.0
0F7D0DC0H4JG2M2W4G8PWF8ZAR,1935,2439514,2023-01-26 07:02:05 UTC,0.0,0.0,0.0
0F7D0DDH6A5BTY0J4X1GQNMF23,1482,2439514,2023-01-26 07:02:10 UTC,0.0,0.0,0.0
0F7D0DF23278XA1ZZNYBG9H2FJ,0,2439514,2023-01-26 07:02:15 UTC,0.0,0.0,0.0
0F7D0DGKRYG3YSYVY6ZW9XWDFC,0,2439514,2023-01-26 07:02:20 UTC,0.0,0.0,0.0
0F7D0DJ4EQM7M990H657GE6CM4,1070,2439514,2023-01-26 07:02:25 UTC,0.0,0.0,0.0
0F7D0DKN7RZ24D9HCYBE5SKTWD,2196,2439514,2023-01-26 07:02:30 UTC,0.0,0.0,0.0
0F7D0DN683TCM24VTAM2PZM1FM,1273,2439514,2023-01-26 07:02:35 UTC,0.0,0.0,0.0
